time,v_cmd,v_wheel,v_ground,slip_difference
0.0,0.0,0.0,1.7856252156238503e-05,-1.7856252156238503e-05
0.0,0.0,0.0,5.4555463382640014e-05,-5.4555463382640014e-05
0.0,0.0,0.0,5.197080549238651e-05,-5.197080549238651e-05
0.0,0.0,0.0,5.0453736364351466e-05,-5.0453736364351466e-05
0.0,0.0,0.0,-5.879634433498964e-05,5.879634433498964e-05
0.0,0.0,0.0,2.9409870485535666e-05,-2.9409870485535666e-05
0.0,0.0,0.0,4.0734411233282656e-05,-4.0734411233282656e-05
0.0,0.0,0.0,8.704239184515619e-05,-8.704239184515619e-05
0.0,0.0,0.0,0.00010941521857671266,-0.00010941521857671266
0.0009999999999976694,0.0,4.396850436052475e-05,0.00012197370895032207,-7.800520458979732e-05
0.0019999999999988916,0.0,4.396850436052475e-05,6.875091702156829e-05,-2.478241266104354e-05
0.0019999999999988916,0.0,4.396850436052475e-05,8.497798791340226e-05,-4.100948355287751e-05
0.003999999999997783,0.0,4.396850436052475e-05,9.757557250758649e-05,-5.360706814706174e-05
0.003999999999997783,0.0,4.396850436052475e-05,1.8601344991986683e-05,2.5367159368538067e-05
0.006000000000000227,0.0,4.396850436052475e-05,2.96343619423706e-06,4.100506816628769e-05
0.006999999999997897,0.0,4.396850436052475e-05,6.375282717907911e-05,-1.9784322818554358e-05
0.007999999999999119,0.0,4.396850436052475e-05,0.0001768205393853355,-0.00013285203502481075
0.009000000000000341,0.0,4.396850436052475e-05,6.70251563291254e-05,-2.3056651968600652e-05
0.00999999999999801,0.0,4.396850436052475e-05,6.768852169362861e-05,-2.372001733310386e-05
0.010999999999999233,0.0,4.396850436052475e-05,1.857966857184927e-06,4.2110537503339826e-05
0.012999999999998124,0.0,4.396850436052475e-05,2.4536092767964816e-05,1.9432411592559934e-05
0.012999999999998124,0.0,4.396850436052475e-05,5.986022455007974e-05,-1.5891720189554993e-05
0.013999999999999346,0.0,4.664601154422562e-05,8.064015611813371e-05,-3.399414457390809e-05
